participant_id,condition,task_type,task_id,decision,timestamp,latency_ms,trust_rating,confidence_rating,browser_userAgent,browser_language,browser_screenWidth,browser_screenHeight,browser_windowWidth,browser_windowHeight
P-20260331051102-4976,A,recommendation,air_purifier,accept,2026-03-31T05:15:37.991Z,29237,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",en-US,1470,956,734,838
P-20260331051102-4976,A,recommendation,cloud_storage,accept,2026-03-31T05:16:33.922Z,55807,0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",en-US,1470,956,734,838
